entry_time,entry_price,exit_time,exit_price,size,type,pnl,pnl_pct,exit_reason
2020-03-16 11:40:00,4554.4,2020-03-16 12:30:00,4663.53,0.21645944736662812,long,23.62221949112015,0.02396144387844724,trailing_stop
2020-03-16 16:40:00,5034.42,2020-03-16 18:40:00,5126.54,0.19628976705075918,short,-18.082213340715914,-0.018298036317986956,trailing_stop
2020-03-16 22:00:00,4983.86,2020-03-16 22:30:00,4882.28,0.19791826168905458,long,-20.10453702237415,-0.020381792425950958,trailing_stop
2020-03-16 22:30:00,4882.28,2020-03-16 23:20:00,4999.66,0.20162433412245387,short,-23.666664339293657,-0.024042045929360895,trailing_stop
2020-03-17 04:10:00,5284.41,2020-03-17 07:20:00,5339.95,0.1858333830201375,short,-10.32118609293843,-0.010510161020814049,trailing_stop
2020-03-17 07:30:00,5386.87,2020-03-17 08:50:00,5311.54,0.18210717335969698,long,-13.71813336918596,-0.013984001841514632,trailing_stop
2020-03-17 08:50:00,5311.54,2020-03-17 10:30:00,5313.32,0.18443160658099764,short,-0.32828825971412884,-0.00033511938157290455,trailing_stop
2020-03-17 11:10:00,5323.6,2020-03-17 14:00:00,5106.43,0.18400763145113472,long,-39.96093732224294,-0.04079382372830417,trailing_stop
2020-03-17 15:00:00,5254.57,2020-03-17 17:20:00,5339.3,0.18566446599075406,long,15.73135020339668,0.01612501118074371,trailing_stop
2020-03-17 18:50:00,5382.0,2020-03-17 20:40:00,5458.27,0.18156077073232557,short,-13.84763998375455,-0.014171311780007512,trailing_stop
2020-03-17 20:40:00,5458.27,2020-03-18 00:00:00,5331.71,0.1787700689198227,long,-22.62513992249283,-0.02318683392356926,trailing_stop
2020-03-18 03:00:00,5388.31,2020-03-18 06:00:00,5286.21,0.18067126614666776,long,-18.446536273574843,-0.01894842724342147,trailing_stop
2020-03-18 09:00:00,5186.8,2020-03-18 10:10:00,5044.23,0.18733479919476242,long,-26.708322321197393,-0.027487082594277897,trailing_stop
2020-03-18 10:10:00,5044.23,2020-03-18 10:40:00,5151.62,0.19210014298144099,short,-20.62963435477701,-0.02128967156533313,trailing_stop
2020-03-18 11:10:00,5125.32,2020-03-18 13:20:00,5059.16,0.18865833563480847,long,-12.4816354855989,-0.012908462300890452,trailing_stop
2020-03-18 15:30:00,5274.5,2020-03-18 18:40:00,5290.72,0.1830858237268436,short,-2.96965206084945,-0.00307517300218035,trailing_stop
2020-03-18 22:10:00,5318.73,2020-03-19 00:10:00,5455.02,0.1815074673918683,short,-24.737652730837887,-0.0256245381886279,trailing_stop
2020-03-19 00:50:00,5376.36,2020-03-19 06:30:00,5411.19,0.17910174295770148,short,-6.23811370721673,-0.006478360824051948,trailing_stop
2020-03-19 08:50:00,5412.78,2020-03-19 09:30:00,5547.14,0.177781405377153,short,-23.88670962647438,-0.024822734343535224,trailing_stop
2020-03-19 09:30:00,5547.14,2020-03-19 13:40:00,5784.93,0.17304466165171578,long,41.14829009416149,0.04286713513630446,trailing_stop
2020-03-19 13:50:00,5817.99,2020-03-19 15:30:00,5956.22,0.16569602103890088,short,-22.904160988207348,-0.023759064556659687,trailing_stop
2020-03-19 16:20:00,6018.08,2020-03-19 16:50:00,6140.0,0.159806346433629,long,19.48358975718806,0.020258953021561707,trailing_stop
2020-03-19 18:30:00,6259.8,2020-03-19 22:30:00,6305.74,0.1539467293397573,short,-7.072312745868389,-0.007338892616377456,trailing_stop
2020-03-19 22:40:00,6299.33,2020-03-19 23:10:00,6225.0,0.15286840109129482,long,-11.362708253115933,-0.011799667583695397,trailing_stop
2020-03-19 23:10:00,6225.0,2020-03-20 00:20:00,6283.26,0.1545112022845164,short,-9.00182264509596,-0.009359036144578349,trailing_stop
2020-03-20 04:30:00,6170.0,2020-03-20 08:30:00,6567.26,0.15574263402862318,long,61.87031879421088,0.06438573743922207,trailing_stop
2020-03-20 11:20:00,6738.06,2020-03-20 14:20:00,6665.47,0.14353079133103977,short,10.418900142720197,0.010773130544993683,trailing_stop
2020-03-20 14:30:00,6725.84,2020-03-20 15:40:00,6570.95,0.1439464771463933,long,-22.295869845204905,-0.023029093763752975,trailing_stop
2020-03-20 21:40:00,6194.63,2020-03-20 22:40:00,6101.9,0.15593044086019298,long,-14.459429780965769,-0.014969417059614614,trailing_stop
2020-03-21 03:20:00,6190.0,2020-03-21 07:00:00,6236.52,0.15581348043419724,short,-7.248443109798924,-0.007515347334410409,trailing_stop
2020-03-21 08:10:00,6078.03,2020-03-21 12:00:00,6119.69,0.15856463353696856,short,-6.605802633150088,-0.006854194533426103,trailing_stop
2020-03-21 14:40:00,6134.67,2020-03-21 18:30:00,6204.41,0.15699296283473863,short,-10.948689228094638,-0.011368174653241296,trailing_stop
2020-03-21 18:40:00,6200.01,2020-03-21 21:40:00,6306.84,0.15516187076965626,long,16.57594265432237,0.017230617369971973,trailing_stop
2020-03-21 21:50:00,6158.75,2020-03-22 01:30:00,6272.64,0.15647050857008463,short,-17.82042622104699,-0.018492388877613206,trailing_stop
2020-03-22 04:50:00,6326.54,2020-03-22 13:30:00,6117.49,0.15203898213461134,short,31.78374921524053,0.03304333806472419,trailing_stop
2020-03-22 13:40:00,6095.21,2020-03-22 18:40:00,5919.46,0.15833073461872982,long,-27.826626609241764,-0.028834117282259347,trailing_stop
2020-03-22 21:00:00,5939.55,2020-03-22 22:20:00,5967.25,0.16201166995723648,long,4.487723257815421,0.004663652970342841,trailing_stop
2020-03-22 22:50:00,5873.27,2020-03-23 00:30:00,5919.12,0.16391638501555103,short,-7.515566252962925,-0.007806554100186003,trailing_stop
2020-03-23 00:30:00,5919.12,2020-03-23 08:20:00,5855.1,0.16251970394163137,long,-10.404511446343163,-0.010815796942788712,trailing_stop
2020-03-23 10:10:00,5834.78,2020-03-23 13:30:00,6282.23,0.16469055883004244,long,73.69079054850246,0.07668669598510996,trailing_stop
2020-03-23 14:20:00,6257.02,2020-03-23 16:50:00,6359.43,0.15475454096442157,short,-15.84841254016639,-0.016367216342603963,trailing_stop
2020-03-23 17:00:00,6407.41,2020-03-23 19:00:00,6271.25,0.15087491149328489,long,-20.543127948925648,-0.021250396025851295,trailing_stop
2020-03-23 20:30:00,6353.75,2020-03-24 04:20:00,6492.69,0.15182578852745165,long,21.09467505800407,0.021867401141058368,trailing_stop
2020-03-24 06:40:00,6498.05,2020-03-25 03:50:00,6547.92,0.148778875410638,long,7.419602516728501,0.007674610075330274,trailing_stop
2020-03-25 05:10:00,6680.0,2020-03-25 10:30:00,6827.07,0.14483750473260018,long,21.301251821023467,0.02201646706586822,trailing_stop
2020-03-25 10:40:00,6695.68,2020-03-25 13:40:00,6780.93,0.14481645729722323,short,-12.34560298458828,-0.01273208994456127,trailing_stop
2020-03-25 18:00:00,6658.82,2020-03-26 00:10:00,6731.31,0.14543268874926982,short,-10.54241560743467,-0.01088631319062547,trailing_stop
2020-03-26 01:30:00,6712.94,2020-03-26 20:20:00,6721.3,0.14410315821930025,short,-1.204702402713434,-0.0012453559841143498,trailing_stop
2020-03-26 22:10:00,6711.53,2020-03-27 00:10:00,6846.1,0.1441154825645416,short,-19.39362048871045,-0.02005056969126274,trailing_stop
2020-03-27 01:40:00,6792.5,2020-03-28 07:50:00,6198.39,0.14211203866728406,short,84.43018329262009,0.08746558704453437,trailing_stop
2020-03-28 10:40:00,6255.05,2020-03-28 18:20:00,6201.78,0.15567246320601574,short,8.292672114984526,0.008516318814398035,trailing_stop
2020-03-28 18:40:00,6213.19,2020-03-29 06:00:00,6153.72,0.15685474099267646,long,-9.328151446834367,-0.00957157273477865,trailing_stop
2020-03-29 09:10:00,6131.38,2020-03-29 19:40:00,5949.88,0.15879549025563638,long,-28.821381481398003,-0.029601818840130606,trailing_stop
2020-03-29 22:00:00,5898.49,2020-03-30 23:10:00,6457.01,0.16457658738006917,long,91.91931558351631,0.09468864065209918,trailing_stop
2020-03-31 01:40:00,6487.53,2020-03-31 11:30:00,6382.01,0.15105059806333318,long,-15.938859107642847,-0.01626505002674354,trailing_stop
2020-03-31 12:50:00,6447.98,2020-04-01 00:20:00,6306.02,0.15172990619435103,long,-21.53957748334994,-0.02201619732071116,trailing_stop
2020-04-01 02:20:00,6315.33,2020-04-01 12:10:00,6231.32,0.15457584050155995,long,-12.985916360536086,-0.013302551093925452,trailing_stop
2020-04-01 12:10:00,6231.32,2020-04-01 20:40:00,6293.87,0.15645141818405459,short,-9.786036207412643,-0.010038001579119703,trailing_stop
2020-04-02 00:50:00,6630.86,2020-04-02 14:40:00,6743.2,0.14687691303057546,short,-16.500152409854866,-0.016941995457602804,trailing_stop
2020-04-02 14:40:00,6743.2,2020-04-02 18:10:00,6997.9,0.14418528774127062,long,36.723992787701604,0.037771384505872564,trailing_stop
2020-04-02 18:20:00,6880.0,2020-04-02 21:50:00,6841.44,0.14185212668251546,short,5.469818004877853,0.005604651162790756,trailing_stop
2020-04-02 23:40:00,6775.62,2020-04-03 07:40:00,6927.7,0.14411811957816317,short,-21.917483625447044,-0.022445178448614288,trailing_stop
2020-04-03 10:20:00,6936.62,2020-04-03 19:50:00,6783.32,0.14045714844025609,short,21.532080855891284,0.02210010062537665,trailing_stop
2020-04-03 21:00:00,6705.0,2020-04-04 09:50:00,6857.87,0.1456302868156955,short,-22.262501945515357,-0.022799403430275898,trailing_stop
2020-04-04 11:40:00,6751.45,2020-04-04 20:30:00,6857.46,0.14429860591497928,short,-15.297095213046985,-0.015701812203304508,trailing_stop
2020-04-04 20:30:00,6857.46,2020-04-05 11:00:00,6755.01,0.1418448103792632,long,-14.532000823355489,-0.014939934028051178,trailing_stop
2020-04-05 11:20:00,6788.62,2020-04-07 04:50:00,7245.25,0.1430691235186307,long,65.32965387231235,0.06726403893574837,trailing_stop
2020-04-07 05:50:00,7293.93,2020-04-07 14:50:00,7295.55,0.13405323038311004,long,0.21716623322062364,0.0002221024879591511,trailing_stop
2020-04-07 15:50:00,7346.51,2020-04-07 20:10:00,7196.57,0.13309674870266286,long,-19.956526500477338,-0.020409691132251984,trailing_stop
2020-04-07 21:50:00,7197.05,2020-04-08 10:50:00,7250.69,0.1355834602596275,long,7.27269680832634,0.007453053681716733,trailing_stop
2020-04-08 10:50:00,7250.69,2020-04-08 21:40:00,7369.01,0.13468072863994804,short,-15.935423812678735,-0.01631844693401602,trailing_stop
2020-04-08 22:00:00,7335.11,2020-04-09 13:20:00,7331.19,0.1329134355123668,short,0.5210206672084876,0.0005344159801284607,trailing_stop
2020-04-09 15:20:00,7288.02,2020-04-10 18:40:00,6913.1,0.13377937656974567,short,50.15656386352906,0.05144332754300895,trailing_stop
2020-04-10 20:20:00,6898.95,2020-04-12 12:30:00,6921.74,0.14205095390083866,short,-3.237341239400108,-0.0033034012422180135,trailing_stop
2020-04-12 17:50:00,7107.77,2020-04-13 11:40:00,6802.94,0.1378320759239889,short,42.01535170390966,0.042886868877299186,trailing_stop
2020-04-13 12:30:00,6695.47,2020-04-13 15:30:00,6760.57,0.1469471492607153,short,-9.566259416872487,-0.009722991813868102,trailing_stop
2020-04-13 17:30:00,6771.32,2020-04-14 03:50:00,6910.74,0.14515982164761884,short,-20.23818233411103,-0.02058978160831272,trailing_stop
2020-04-14 05:10:00,6892.79,2020-04-14 14:10:00,6953.39,0.14230809081453857,short,-8.62387030336109,-0.008791795484847263,trailing_stop
2020-04-14 15:20:00,6907.36,2020-04-16 04:00:00,6658.0,0.14188306360971592,short,35.37996074171872,0.036100623103472194,trailing_stop
2020-04-16 10:00:00,7039.42,2020-04-16 21:50:00,7086.16,0.13972392531336092,short,-6.530696269146459,-0.006639751570441852,trailing_stop
2020-04-17 00:00:00,7114.76,2020-04-18 13:10:00,7187.24,0.13815256237771398,short,-10.013297721136649,-0.010187272655718472,trailing_stop
2020-04-18 15:50:00,7252.14,2020-04-21 00:40:00,6918.52,0.1353974130298575,short,45.17128493502104,0.04600297291558076,trailing_stop
2020-04-21 02:30:00,6865.35,2020-04-22 07:00:00,6944.08,0.1436835883711468,short,-11.312208912460326,-0.011467732890529917,trailing_stop
2020-04-22 09:30:00,6958.81,2020-04-22 14:30:00,7098.13,0.14159129255326797,short,-19.72649887852125,-0.020020664452686552,trailing_stop
